isolabel_ext,status,cover,overlay
CM-AD-Bankim,1,61h 61m 61r 64h abr abv aer,
CM-AD-Banyo,1,61m 61v 63m 64h 64m 64r 64v 66h 66m 66r 66v aer,
CM-AD-Belel,1,73v 76h 76m 76r 76v 79m 7ch,
CM-AD-Dir,1,70m 70v 71h 71m 71r 71v 73m bav bbr bbv,
CM-AD-Djohong,1,74v 75r 76m 77h 77m 77r 77v,
CM-AD-GalimTignere,1,66m 66r 66v 67h 67r,
CM-AD-Kontcha,1,6cv 6dr 6em 6fh,
CM-AD-Martap,1,65v 67m 67v 70r 70v 72h 72m 72r 72v 78h 78m 78v 79h,
CM-AD-MayoBaleo,1,66r 66v 6ch 6cm 6cr 6cv 6dh 6dm 6dr 6dv 6fh,
CM-AD-MayoDarle,1,61h 61m 61r 61v 64h 64r,
CM-AD-Mbe,1,78m 78v 79h 79m 79r 79v,
CM-AD-Meiganga,1,71m 71v 73m 74h 74m 74r 74v 75h 75r 76h 76m bbv ber bev,
CM-AD-Nganha,1,73r 73v 76r 79h 79m 79v 7ch,
CM-AD-Ngaoui,1,75r 75v 77h 77m,
CM-AD-Ngaoundal,1,65m 70h 70m 70r 70v 72h afv bar bav,
CM-AD-Ngaoundere1,1,72dp 72dy 72dz 72fn 72fp 72fy 72fz 738k 738s 738t 738y 73aj 73ak 73an 73ap 73as 73at 73az 785n 790j,
CM-AD-Ngaoundere2,1,73an 73ap 73as 73at 73ay 73az 73bj 73bk 73bs 73bt 790j 790n 790p 791j 791k,
CM-AD-Ngaoundere3,1,785n 785y 785z 787n 790j 790k 790n 790p 790s 790t 790y 790z 792j 792k 792n 792p,
CM-AD-Nyambaka,1,70v 71r 71v 72m 72v 73h 73m 73r 73v 76h 76r,
CM-AD-Tibati,1,64h 64m 64r 64v 65h 65m 65r 65v 66m 67h 67m 70h 70r aer aev afr afv,
CM-AD-Tignere,1,66v 67h 67m 67r 67v 6cm 6dh 6dm 6dv 72r 78h 78m,
CM-CE-Afanloum,1,a43p a43y a43z a46j a46k a46s a46t a46y a46z a49n a49p a4cj a4ck a4cn a4cp a4dj,
CM-CE-Akoeman,1,d9v dbm deh,
